"fecha","sitio","CEa1m","sdCEa1m","CEa05m","sdCEa05m","PromCEa","Lectura_std_Med","Lectura_std_Sum","Lectura_std_Max"
"2018-01-17","S7",34.8781296296296,2.21649992697391,27.9630740740741,1.37770763735712,31.42,0.682,3.41,0.746
"2018-01-17","S8",37.2713559322034,0.912923303095551,31.9734576271186,1.41127366443656,34.62,0.739,2.956,0.96
"2018-01-17","S9",37.9724285714286,0.785827298809355,31.5611428571429,6.96090980026223,34.77,0.6266,3.133,0.709
"2018-01-17","S10",42.8490172413793,1.87548890927681,36.0175689655172,2.06607847129442,39.43,0.7796,3.898,0.952
"2018-01-17","S11",46.354675,1.23574660060121,39.263425,1.41323331565852,42.81,0.7088,3.544,0.881
"2018-01-17","S12",51.4781836734694,1.62103249856212,44.0439795918367,1.90474544985452,47.76,0.7486,3.743,0.912
"2018-01-24","S1",23.9695555555556,0.38952387561381,17.3673888888889,0.742634114557482,20.67,0.4822,2.411,0.705
"2018-01-24","S2",24.4551081081081,3.16618492637243,21.4076216216216,20.0257253445431,22.93,0.5126,2.563,0.639
"2018-01-24","S3",25.8911,1.27914812999181,18.023175,0.9924815024434,21.96,0.4788,2.394,0.608
"2018-01-24","S4",38.4915714285714,1.15825211317397,29.4627857142857,1.76520955333801,33.98,0.6806,3.403,0.96
"2018-01-24","S5",31.7032222222222,1.39986557962743,22.7826666666667,2.56306098549851,27.24,0.697,3.485,0.949
"2018-01-24","S6",36.1821,0.731538687783591,23.3071,0.585287394775215,29.74,0.7214,3.607,0.934
"2018-01-24","S7",28.6477272727273,1.57019031851672,23.1123636363636,2.42627448189026,25.88,0.6144,3.072,0.733
"2018-01-24","S8",32.2863448275862,1.7230668728392,25.4436551724138,1.07356426635304,28.87,0.68625,2.745,0.845
"2018-01-24","S9",32.5837441860465,0.902258412277168,27.8536511627907,1.68357219262978,30.22,0.6314,3.157,0.714
"2018-01-24","S10",37.19609375,1.3340856083034,30.8445,2.16494414738356,34.02,0.786,3.93,0.96
"2018-01-24","S11",41.19585,1.49655320741749,34.031,0.879280507304873,37.61,0.7148,3.574,0.888
"2018-01-24","S12",45.5262727272727,1.81270498169155,37.5105,0.5348395175413,41.52,0.7542,3.771,0.919
"2018-01-31","S1",25.8869756097561,0.668354303038623,15.6007804878049,0.688854683957187,20.74,0.5068,2.534,0.715
"2018-01-31","S2",27.1227674418605,0.924071498914021,16.4119302325581,0.858245064218086,21.77,0.5162,2.581,0.657
"2018-01-31","S3",30.2731860465116,0.801335797154142,18.5957441860465,0.917860324808873,24.43,0.4676,2.338,0.602
"2018-01-31","S4",42.12472,1.40540602078734,29.90126,1.70559758885326,36.01,0.6938,3.469,0.957
"2018-01-31","S5",35.1840476190476,1.20033208722767,21.9046904761905,1.16670416523443,28.54,0.7014,3.507,0.94
"2018-01-31","S6",38.7840566037736,1.04424690226414,22.9750566037736,1.16462944610481,30.88,0.6834,3.417,0.855
"2018-01-31","S7",32.3143684210526,0.811178602690125,24.0024473684211,2.35433902696952,28.16,0.6898,3.449,0.793
"2018-01-31","S8",35.4097878787879,1.25170942508574,25.2402121212121,1.95285142096077,30.33,0.756,3.024,0.889
"2018-01-31","S9",34.9075365853659,0.641114502158584,26.6450731707317,0.4709821859818,30.78,0.605,3.025,0.822
"2018-01-31","S10",40.1309411764706,2.29452213208257,28.4137647058824,3.12380924279688,34.27,0.7502,3.751,0.916
"2018-01-31","S11",44.3635625,2.07924180029542,32.2224791666667,1.11570235467959,38.29,0.7146,3.573,0.859
"2018-01-31","S12",46.921976744186,2.18820912303028,34.7059069767442,0.62854975989531,40.81,0.7568,3.784,0.918
"2018-02-07","S1",23.2762553191489,0.829205865981189,12.0959361702128,0.732258846021213,17.69,0.4858,2.429,0.689
"2018-02-07","S2",24.6646086956522,0.460935448759049,12.8206956521739,0.54777395457799,18.74,0.4868,2.434,0.624
"2018-02-07","S3",27.6970869565217,0.833793708195311,15.0226086956522,0.579673106280538,21.36,0.464,2.32,0.563
"2018-02-07","S4",36.5258936170213,0.803967126573311,22.385170212766,0.786394090803049,29.46,0.6138,3.069,0.89
"2018-02-07","S5",32.24354,0.841460615688638,18.61504,0.894033715293575,25.43,0.6542,3.271,0.918
"2018-02-07","S6",36.2369622641509,0.968462837583039,18.9118113207547,0.65091568804746,27.57,0.6658,3.329,0.837
"2018-02-07","S7",26.3424745762712,1.87558842588346,15.8648644067797,1.15920924976717,21.1,0.6042,3.021,0.694
"2018-02-07","S8",28.8334310344828,0.93786334455242,17.6105517241379,1.06180050943625,23.22,0.645,2.58,0.818
"2018-02-07","S9",29.7040204081633,0.869794647455074,17.8747142857143,0.610903395254383,23.79,0.534,2.67,0.743
"2018-02-07","S10",35.128347826087,0.742183272286458,23.1230652173913,1.26574749811544,29.13,0.6788,3.394,0.846
"2018-02-07","S11",36.615,1.7040100821298,23.8368235294118,1.5654604013629,30.23,0.6476,3.238,0.834
"2018-02-07","S12",40.7901666666667,1.28820471395562,25.5127333333333,0.891191721829524,33.15,0.675,3.375,0.868
"2018-02-14","S1",26.3080217391304,0.839908420646241,17.8697826086957,0.915037046318489,22.09,0.526,2.63,0.737
"2018-02-14","S2",28.0556666666667,0.908932563374151,20.5879473684211,2.29040972957314,24.32,0.5352,2.676,0.756
"2018-02-14","S3",31.9441333333333,0.986696983051857,21.7466666666667,0.967813890824433,26.85,0.5184,2.592,0.77
"2018-02-14","S4",44.35936,0.685533034378716,38.00646,3.37689975684134,41.18,0.7632,3.816,1.051
"2018-02-14","S5",37.17346,1.30986298099442,27.33692,3.8443237341646,32.26,0.7242,3.621,0.979
"2018-02-14","S6",39.1689420289855,4.64225167818902,23.2787971014493,9.4517589828556,31.22,0.6932,3.466,0.882
"2018-02-14","S7",27.7349074074074,1.30681320962476,19.0236296296296,1.08099078061969,23.38,0.6714,3.357,0.795
"2018-02-14","S8",30.2419743589744,1.35170809070714,20.9513846153846,0.592943487827537,25.6,0.71,2.84,0.875
"2018-02-14","S9",31.8820952380952,0.827324421267468,23.1896904761905,0.906292083647813,27.54,0.569,2.845,0.846
"2018-02-14","S10",36.2872291666667,1.06992282958112,25.2130625,1.77387096134414,30.75,0.722,3.61,0.895
"2018-02-14","S11",39.3319636363636,1.04709069548875,28.0400909090909,1.41601815578347,33.69,0.6888,3.444,0.86
"2018-02-14","S12",42.5603846153846,1.12107497700751,30.9704423076923,0.658309910135648,36.77,0.7262,3.631,0.96
"2018-02-21","S1",28.14,0.63,26.54,1.48,27.34,0.5092,2.546,0.71
"2018-02-21","S2",28.99,0.5,27.52,1.3,28.26,0.4932,2.466,0.657
"2018-02-21","S3",33.88,0.68,31.68,3.32,32.78,0.4714,2.357,0.64
"2018-02-21","S4",42.73,1.36,40.82,3.25,41.78,0.689,3.445,0.991
"2018-02-21","S5",36.57,0.76,32.19,1.41,34.38,0.6474,3.237,0.904
"2018-02-21","S6",41.15,0.88,32.19,1.2,36.67,0.6444,3.222,0.813
"2018-02-21","S7",28.49,0.95,26.5,0.94,27.5,0.6078,3.039,0.718
"2018-02-21","S8",29.85,0.53,27.93,1.01,28.89,0.6535,2.614,0.835
"2018-02-21","S9",30.47,0.66,30.37,4.61,30.42,0.5466,2.733,0.817
"2018-02-21","S10",35.19,3.2,30.74,1.61,32.97,0.6374,3.187,0.802
"2018-02-21","S11",37.73,1.09,31.91,1.04,34.82,0.6286,3.143,0.826
"2018-02-21","S12",39.23,1.13,35.89,0.48,37.56,0.661,3.305,0.871
"2018-02-27","S1",23.18,0.91,15.78,3.24,19.48,0.5118,2.559,0.695
"2018-02-27","S2",24.77,1.05,17.57,2.24,21.17,0.486,2.43,0.641
"2018-02-27","S3",28.82,0.5,21.67,0.56,25.25,0.4696,2.348,0.634
"2018-02-27","S4",36.52,1.11,29.32,4.14,32.92,0.648,3.24,0.932
"2018-02-27","S5",31.69,0.66,23.87,2.54,27.78,0.6648,3.324,0.953
"2018-02-27","S6",35.13,1.36,23.21,1.43,29.17,0.652,3.26,0.855
"2018-02-27","S7",21.88,0.95,17.11,1.98,19.5,0.5634,2.817,0.636
"2018-02-27","S8",24.18,0.45,18.83,2.4,21.51,0.6145,2.458,0.797
"2018-02-27","S9",22.59,0.47,14.54,8.17,18.57,0.508,2.54,0.766
"2018-02-27","S10",28.81,1.85,24.4,7.24,26.61,0.6172,3.086,0.781
"2018-02-27","S11",30.21,0.81,21.55,0.98,25.88,0.5958,2.979,0.805
"2018-02-27","S12",34.02,0.72,26.64,1.93,30.33,0.6442,3.221,0.882
"2018-03-07","S1",25.2,0.59,19.74,0.35,22.47,0.5038,2.519,0.683
"2018-03-07","S2",26.59,0.53,18.91,0.67,22.75,0.4962,2.481,0.671
"2018-03-07","S3",30.25,0.68,23.09,0.76,26.67,0.4852,2.426,0.67
"2018-03-07","S4",37.28,1.24,30.76,1.57,34.02,0.6644,3.322,0.941
"2018-03-07","S5",31.74,0.67,23.48,0.39,27.61,0.658,3.29,0.932
"2018-03-07","S6",36.37,0.88,24.03,0.79,30.2,0.653,3.265,0.864
"2018-03-07","S7",23.54,1.62,19.55,2.23,21.55,0.5086,2.543,0.591
"2018-03-07","S8",25.15,0.37,19.02,0.4,22.09,0.6115,2.446,0.778
"2018-03-07","S9",24.17,0.57,18.3,1.47,21.24,0.5216,2.608,0.737
"2018-03-07","S10",27.35,0.62,19.69,0.4,23.52,0.595,2.975,0.76
"2018-03-07","S11",31.59,0.81,22.89,0.34,27.24,0.6018,3.009,0.804
"2018-03-07","S12",31.91,1.25,24.37,0.82,28.14,0.6578,3.289,0.864
"2018-03-14","S1",23.16,0.65,11.74,1.55,17.45,0.512,2.56,0.727
"2018-03-14","S2",24.4,0.45,11.45,1.49,17.93,0.5032,2.516,0.683
"2018-03-14","S3",28.97,0.86,18.35,1.01,23.66,0.4744,2.372,0.659
"2018-03-14","S4",35.94,1.19,22.37,0.74,29.16,0.6606,3.303,0.922
"2018-03-14","S5",30.42,0.85,16.17,1.02,23.3,0.6356,3.178,0.921
"2018-03-14","S6",32.57,1.45,15.85,1.16,24.21,0.6458,3.229,0.867
"2018-03-14","S7",19.12,0.98,11.18,1.13,15.15,0.4784,2.392,0.552
"2018-03-14","S8",20.21,1.05,10.23,0.56,15.22,0.616,2.464,0.773
"2018-03-14","S9",20.52,0.54,10.47,0.49,15.5,0.5062,2.531,0.755
"2018-03-14","S10",24.53,0.71,10.57,0.66,17.55,0.5856,2.928,0.767
"2018-03-14","S11",25.93,0.74,14.37,1.58,20.15,0.5896,2.948,0.785
"2018-03-14","S12",28.95,1.21,15.4,0.73,22.18,0.6478,3.239,0.868
"2018-03-21","S1",29.99,1.1,20.82,1.37,25.41,0.5614,2.807,0.807
"2018-03-21","S2",30.55,0.84,20.36,1.15,25.46,0.5866,2.933,0.91
"2018-03-21","S3",36.29,0.41,25.74,0.87,31.02,0.5202,2.601,0.812
"2018-03-21","S4",47.3,1.51,37.34,1.8,42.32,0.7496,3.748,1.068
"2018-03-21","S5",40.73,1.31,23.69,10.2,32.21,0.6984,3.492,0.981
"2018-03-21","S6",40.44,0.51,24.44,0.75,32.44,0.678,3.39,0.877
"2018-03-21","S7",23.42,0.56,18.71,0.92,21.07,0.5464,2.732,0.71
"2018-03-21","S8",23.71,0.87,16.17,0.35,19.94,0.66675,2.667,0.833
"2018-03-21","S9",24.41,1.18,18.1,0.61,21.26,0.5546,2.773,0.761
"2018-03-21","S10",28.12,1.99,18.84,5.39,23.48,0.6068,3.034,0.754
"2018-03-21","S11",31.2,0.39,20,0.98,25.6,0.6546,3.273,0.85
"2018-03-21","S12",32.05,2.41,20.16,1.88,26.11,0.7018,3.509,0.926
"2018-03-28","S1",27.98,0.81,26.52,1.13,27.25,0.5366,2.683,0.753
"2018-03-28","S2",28.06,0.81,26.61,1.69,27.34,0.5622,2.811,0.823
"2018-03-28","S3",33.79,0.51,32.1,0.67,32.95,0.5022,2.511,0.775
"2018-03-28","S4",44.15,0.99,42.44,1.89,43.3,0.7184,3.592,1.004
"2018-03-28","S5",36.72,1.23,33.3,1.78,35.01,0.686,3.43,0.959
"2018-03-28","S6",36.84,0.78,29.46,0.51,33.15,0.6574,3.287,0.851
"2018-03-28","S7",19.84,0.54,19.61,0.69,19.73,0.5146,2.573,0.61
"2018-03-28","S8",21.07,0.97,19.03,0.53,20.05,0.6485,2.594,0.815
"2018-03-28","S9",22.44,0.97,21.25,0.59,21.85,0.5212,2.606,0.787
"2018-03-28","S10",25.38,0.7,21.49,1.09,23.44,0.5992,2.996,0.778
"2018-03-28","S11",27.4,0.83,23.46,0.91,25.43,0.593,2.965,0.786
"2018-03-28","S12",30.97,0.77,25.26,0.34,28.12,0.674,3.37,0.917
"2018-04-04","S1",27.96,1.02,24.7,1.84,26.33,0.5132,2.566,0.734
"2018-04-04","S2",27.22,1,23.38,2.35,25.3,0.5454,2.727,0.801
"2018-04-04","S3",33.45,0.69,30.18,1.46,31.82,0.4882,2.441,0.744
"2018-04-04","S4",43.97,0.94,40.5,2.39,42.24,0.7018,3.509,1.016
"2018-04-04","S5",37.16,1.32,30.51,2.65,33.84,0.6804,3.402,0.951
"2018-04-04","S6",36.15,0.75,26.04,1,31.1,0.638,3.19,0.828
"2018-04-04","S7",19.3,0.86,16.13,0.71,17.72,0.471,2.355,0.558
"2018-04-04","S8",20.28,0.75,15.33,0.72,17.81,0.579,2.316,0.765
"2018-04-04","S9",20.53,0.84,16.82,0.98,18.68,0.4918,2.459,0.734
