"fecha";"sitio";"Lectura_std_Med";"Lectura_std_Sum";"Lectura_std_Max"
"2018-02-21";"S12";0,661;3,305;0,871
"2018-02-21";"S2";0,4932;2,466;0,657
"2018-02-21";"S3";0,4714;2,357;0,64
"2018-02-21";"S4";0,689;3,445;0,991
"2018-02-21";"S5";0,6474;3,237;0,904
"2018-02-21";"S6";0,6444;3,222;0,813
"2018-02-21";"S7";0,6078;3,039;0,718
"2018-02-21";"S8";0,6535;2,614;0,835
"2018-02-21";"S9";0,5466;2,733;0,817
"2018-02-27";"S1";0,5118;2,559;0,695
"2018-02-27";"S10";0,6172;3,086;0,781
"2018-02-27";"S11";0,5958;2,979;0,805
"2018-02-27";"S12";0,6442;3,221;0,882
"2018-02-27";"S2";0,486;2,43;0,641
"2018-02-27";"S3";0,4696;2,348;0,634
"2018-02-27";"S4";0,648;3,24;0,932
"2018-02-27";"S5";0,6648;3,324;0,953
"2018-02-27";"S6";0,652;3,26;0,855
"2018-02-27";"S7";0,5634;2,817;0,636
"2018-02-27";"S8";0,6145;2,458;0,797
"2018-02-27";"S9";0,508;2,54;0,766
"2018-03-07";"S1";0,5038;2,519;0,683
"2018-03-07";"S10";0,595;2,975;0,76
"2018-03-07";"S11";0,6018;3,009;0,804
"2018-03-07";"S12";0,6578;3,289;0,864
"2018-03-07";"S2";0,4962;2,481;0,671
"2018-03-07";"S3";0,4852;2,426;0,67
"2018-03-07";"S4";0,6644;3,322;0,941
"2018-03-07";"S5";0,658;3,29;0,932
"2018-03-07";"S6";0,653;3,265;0,864
"2018-03-07";"S7";0,5086;2,543;0,591
"2018-03-07";"S8";0,6115;2,446;0,778
"2018-03-07";"S9";0,5216;2,608;0,737
"2018-03-14";"S1";0,512;2,56;0,727
"2018-03-14";"S10";0,5856;2,928;0,767
"2018-03-14";"S11";0,5896;2,948;0,785
"2018-03-14";"S12";0,6478;3,239;0,868
"2018-03-14";"S2";0,5032;2,516;0,683
"2018-03-14";"S3";0,4744;2,372;0,659
"2018-03-14";"S4";0,6606;3,303;0,922
"2018-03-14";"S5";0,6356;3,178;0,921
"2018-03-14";"S6";0,6458;3,229;0,867
"2018-03-14";"S7";0,4784;2,392;0,552
"2018-03-14";"S8";0,616;2,464;0,773
"2018-03-14";"S9";0,5062;2,531;0,755
"2018-03-21";"S1";0,5614;2,807;0,807
"2018-03-21";"S10";0,6068;3,034;0,754
"2018-03-21";"S11";0,6546;3,273;0,85
"2018-03-21";"S12";0,7018;3,509;0,926
"2018-03-21";"S2";0,5866;2,933;0,91
"2018-03-21";"S3";0,5202;2,601;0,812
"2018-03-21";"S4";0,7496;3,748;1,068
"2018-03-21";"S5";0,6984;3,492;0,981
"2018-03-21";"S6";0,678;3,39;0,877
"2018-03-21";"S7";0,5464;2,732;0,71
"2018-03-21";"S8";0,66675;2,667;0,833
"2018-03-21";"S9";0,5546;2,773;0,761
"2018-03-28";"S1";0,5366;2,683;0,753
"2018-03-28";"S10";0,5992;2,996;0,778
"2018-03-28";"S11";0,593;2,965;0,786
"2018-03-28";"S12";0,674;3,37;0,917
"2018-03-28";"S2";0,5622;2,811;0,823
"2018-03-28";"S3";0,5022;2,511;0,775
"2018-03-28";"S4";0,7184;3,592;1,004
"2018-03-28";"S5";0,686;3,43;0,959
"2018-03-28";"S6";0,6574;3,287;0,851
"2018-03-28";"S7";0,5146;2,573;0,61
"2018-03-28";"S8";0,6485;2,594;0,815
"2018-03-28";"S9";0,5212;2,606;0,787
"2018-04-04";"S1";0,5132;2,566;0,734
"2018-04-04";"S10";0,5886;2,943;0,784
"2018-04-04";"S11";0,5652;2,826;0,805
"2018-04-04";"S12";0,6316;3,158;0,891
"2018-04-04";"S2";0,5454;2,727;0,801
"2018-04-04";"S3";0,4882;2,441;0,744
"2018-04-04";"S4";0,7018;3,509;1,016
"2018-04-04";"S5";0,6804;3,402;0,951
"2018-04-04";"S6";0,638;3,19;0,828
"2018-04-04";"S7";0,471;2,355;0,558
"2018-04-04";"S8";0,579;2,316;0,765
"2018-04-04";"S9";0,4918;2,459;0,734
"2018-04-13";"S1";0,6442;3,221;0,897
"2018-04-13";"S10";0,6648;3,324;0,976
"2018-04-13";"S11";0,7912;3,956;0,92
"2018-04-13";"S12";0,808;4,04;0,984
"2018-04-13";"S2";0,6676;3,338;0,952
"2018-04-13";"S3";0,6156;3,078;0,898
"2018-04-13";"S4";0,873;4,365;1,076
"2018-04-13";"S5";0,8432;4,216;1,023
