"fecha";"sitio";"CEa1m";"sdCEa1m";"CEa05m";"sdCEa05m";"PromCEa"
"2018-01-31";"S3";30,2731860465116;0,801335797154142;18,5957441860465;0,917860324808873;24,43
"2018-01-31";"S4";42,12472;1,40540602078734;29,90126;1,70559758885326;36,01
"2018-01-31";"S5";35,1840476190476;1,20033208722767;21,9046904761905;1,16670416523443;28,54
"2018-01-31";"S6";38,7840566037736;1,04424690226414;22,9750566037736;1,16462944610481;30,88
"2018-01-31";"S7";32,3143684210526;0,811178602690125;24,0024473684211;2,35433902696952;28,16
"2018-01-31";"S8";35,4097878787879;1,25170942508574;25,2402121212121;1,95285142096077;30,33
"2018-01-31";"S9";34,9075365853659;0,641114502158584;26,6450731707317;0,4709821859818;30,78
"2018-01-31";"S10";40,1309411764706;2,29452213208257;28,4137647058824;3,12380924279688;34,27
"2018-01-31";"S11";44,3635625;2,07924180029542;32,2224791666667;1,11570235467959;38,29
"2018-01-31";"S12";46,921976744186;2,18820912303028;34,7059069767442;0,62854975989531;40,81
"2018-02-07";"S1";23,2762553191489;0,829205865981189;12,0959361702128;0,732258846021213;17,69
"2018-02-07";"S2";24,6646086956522;0,460935448759049;12,8206956521739;0,54777395457799;18,74
"2018-02-07";"S3";27,6970869565217;0,833793708195311;15,0226086956522;0,579673106280538;21,36
"2018-02-07";"S4";36,5258936170213;0,803967126573311;22,385170212766;0,786394090803049;29,46
"2018-02-07";"S5";32,24354;0,841460615688638;18,61504;0,894033715293575;25,43
"2018-02-07";"S6";36,2369622641509;0,968462837583039;18,9118113207547;0,65091568804746;27,57
"2018-02-07";"S7";26,3424745762712;1,87558842588346;15,8648644067797;1,15920924976717;21,1
"2018-02-07";"S8";28,8334310344828;0,93786334455242;17,6105517241379;1,06180050943625;23,22
"2018-02-07";"S9";29,7040204081633;0,869794647455074;17,8747142857143;0,610903395254383;23,79
"2018-02-07";"S10";35,128347826087;0,742183272286458;23,1230652173913;1,26574749811544;29,13
"2018-02-07";"S11";36,615;1,7040100821298;23,8368235294118;1,5654604013629;30,23
"2018-02-07";"S12";40,7901666666667;1,28820471395562;25,5127333333333;0,891191721829524;33,15
"2018-02-14";"S1";26,3080217391304;0,839908420646241;17,8697826086957;0,915037046318489;22,09
"2018-02-14";"S2";28,0556666666667;0,908932563374151;20,5879473684211;2,29040972957314;24,32
"2018-02-14";"S3";31,9441333333333;0,986696983051857;21,7466666666667;0,967813890824433;26,85
"2018-02-14";"S4";44,35936;0,685533034378716;38,00646;3,37689975684134;41,18
"2018-02-14";"S5";37,17346;1,30986298099442;27,33692;3,8443237341646;32,26
"2018-02-14";"S6";39,1689420289855;4,64225167818902;23,2787971014493;9,4517589828556;31,22
"2018-02-14";"S7";27,7349074074074;1,30681320962476;19,0236296296296;1,08099078061969;23,38
"2018-02-14";"S8";30,2419743589744;1,35170809070714;20,9513846153846;0,592943487827537;25,6
"2018-02-14";"S9";31,8820952380952;0,827324421267468;23,1896904761905;0,906292083647813;27,54
"2018-02-14";"S10";36,2872291666667;1,06992282958112;25,2130625;1,77387096134414;30,75
"2018-02-14";"S11";39,3319636363636;1,04709069548875;28,0400909090909;1,41601815578347;33,69
"2018-02-14";"S12";42,5603846153846;1,12107497700751;30,9704423076923;0,658309910135648;36,77
"2018-02-21";"S1";28,14;0,63;26,54;1,48;27,34
"2018-02-21";"S2";28,99;0,5;27,52;1,3;28,26
"2018-02-21";"S3";33,88;0,68;31,68;3,32;32,78
